	"morphotype" "CEL" "TS1" "TS2" "TS3" "TS4" "TS5" "TS6" "TS7" "TS8" "TS9" "TS10" "TS11" "TS12" "TS13" "PYL"
"AMNH-FI-115547" 13 2.4019 0.2797 0.2758 0.2614 0.2774 0.2635 0.273 0.2479 0.2407 0.2156 0.203 0.1937 0.1516 0.1381 0.471
"AMNH-FI-115548" 13 3.707 0.3995 0.3898 0.406 0.4041 0.4528 0.4088 0.3819 0.3706 0.3495 0.3124 0.3009 0.259 0.244 1.0901
"AMNH-FI-115553" 13 4.928 0.5814 0.5768 0.563 0.5643 0.5647 0.5692 0.5344 0.5154 0.5537 0.3021 0.4275 0.3899 0.3669 1.4701
"AMNH-FI-115555" 13 2.5595 0.3243 0.2884 0.2945 0.2897 0.2902 0.2905 0.2631 0.2521 0.2279 0.217 0.1887 0.1651 0.1666 0.61
"AMNH-FI-115563" 13 2.9301 0.3423 0.3295 0.2968 0.294 0.3144 0.3219 0.2924 0.2674 0.2503 0.2356 0.2241 0.1749 0.1699 0.642
"AMNH-FI-115564" 13 3.4592 0.3954 0.3776 0.3555 0.385 0.3678 0.382 0.3608 0.3624 0.3418 0.2997 0.274 0.2507 0.2108 1.041
"AMNH-FI-115565" 13 2.7173 0.3001 0.3077 0.3071 0.3154 0.301 0.3118 0.2846 0.2561 0.239 0.2259 0.2128 0.1657 0.1562 0.5741
"AMNH-FI-115567" 13 3.2392 0.4092 0.3806 0.3463 0.3753 0.3628 0.3596 0.3779 0.2955 0.2972 0.2938 0.2689 0.2209 0.1956 0.8839
"AMNH-FI-115569" 13 4.581 0.5086 0.5012 0.5012 0.5351 0.5121 0.5266 0.5085 0.4658 0.4649 0.4185 0.392 0.3584 0.3422 1.4518
"AMNH-FI-115570" 13 2.8691 0.3115 0.3169 0.3254 0.3085 0.3417 0.3106 0.3097 0.319 0.2768 0.2593 0.2372 0.2064 0.2037 0.7051
"AMNH-FI-115577" 13 3.365 0.3108 0.3768 0.3676 0.3696 0.3705 0.3723 0.3373 0.3227 0.2983 0.2861 0.2573 0.2173 0.2022 0.86
"AMNH-FI-115584" 13 7.9893 0.8883 0.8618 0.8059 0.9072 0.8772 0.8578 0.895 0.835 0.8451 0.7413 0.7335 0.679 0.591 3.0898
"AMNH-FI-115585" 13 8.716 0.912 0.9909 0.9721 0.9903 1.0804 0.9809 0.9989 0.9785 0.8813 0.8728 0.8409 0.728 0.6766 3.6341
"AMNH-FI-115587" 13 3.1824 0.3251 0.3159 0.3621 0.3668 0.3599 0.3318 0.3279 0.3378 0.2826 0.2795 0.243 0.2319 0.1991 0.7714
"AMNH-FI-115589" 13 5.2487 0.5447 0.5526 0.6023 0.5935 0.556 0.641 0.5737 0.5257 0.5447 0.4829 0.4667 0.4226 0.3818 1.8291
"AMNH-FI-115590" 13 6.9047 0.7202 0.6787 0.7524 0.7999 0.7068 0.7931 0.7557 0.7546 0.7036 0.6663 0.6205 0.5711 0.5123 2.6851
"AMNH-FI-115591" 13 9.6 1.026 1.1178 1.1058 1.1782 1.2101 1.1776 1.1395 1.1233 1.1048 1.0276 0.9887 0.8909 0.8505 4.451
"AMNH-FI-115592" 13 4.4089 0.4697 0.4968 0.4942 0.5156 0.5067 0.5015 0.4489 0.4899 0.4456 0.4446 0.3855 0.3483 0.3134 1.3796
"AMNH-FI-115604" 13 6.2738 0.4703 0.6573 0.7383 0.6759 0.3698 0.6956 0.7236 0.6638 0.6703 0.5845 0.5961 0.5113 0.5018 2.2884
"AMNH-FI-115614" 13 3.2492 0.3703 0.3513 0.374 0.3504 0.3505 0.3444 0.3298 0.2765 0.2879 0.254 0.244 0.1976 0.1879 0.7495
"AMNH-FI-115621" 13 5.0947 0.4716 0.5094 0.5777 0.5462 0.6219 0.6101 0.5588 0.5572 0.529 0.5125 0.4476 0.4356 0.4119 1.931
