morphotype	CEL	TSL1	TSL2	TSL3	TSL4	TSL5	TSL6	TSL7	TSL8	TSL9	TSL10	TSL11	TSL12	TSL13	TSL14	TSL15	TSL16	TSL17	TSL18	TSL19	TSL20	TSL21	TSL22	PYL
4	0.9272	0.1047	0.1038	0.102	0.0994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4082
5	1.0395	0.0996	0.1173	0.1237	0.1237	0.0996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.498
5	0.9883	0.1306	0.1054	0.0944	0.1125	0.1155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.472
6	1.1011	0.1135	0.1406	0.1406	0.1372	0.122	0.1254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5743
6	1.2025	0.1362	0.1431	0.1553	0.1641	0.1483	0.1361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6301
6	1.1473	0.1243	0.1242	0.1261	0.1169	0.1242	0.1133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5115
6	1.2107	0.1272	0.137	0.1286	0.123	0.1342	0.1174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.632
7	1.1814	0.1271	0.1467	0.1466	0.148	0.1452	0.1271	0.1243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6758
8	1.335	0.1411	0.1653	0.1468	0.1503	0.1542	0.1522	0.1374	0.1225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6126
8	1.4892	0.1403	0.1522	0.1597	0.1612	0.1552	0.1567	0.1567	0.1478	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5685
8	1.3569	0.1591	0.1286	0.1367	0.1463	0.1399	0.1351	0.1431	0.1061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6174
9	1.473	0.1247	0.1437	0.1552	0.1693	0.1412	0.1506	0.1529	0.1271	0.1176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4941
9	1.4796	0.1379	0.146	0.1622	0.1622	0.152	0.1479	0.1338	0.1175	0.1176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5918
9	1.3243	0.1308	0.1444	0.1399	0.1421	0.1489	0.1354	0.1354	0.1173	0.1038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4986
9	1.4826	0.1296	0.1432	0.1478	0.1592	0.1501	0.1637	0.1501	0.1364	0.1455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6298
